Timestamp,gx,gy,gz,ax,ay,az
2020-12-01 18:30:28.1090,0.5042615532875061,0.3000698089599609,2.666546583175659,0.39251708984375,1.823455810546875,-0.164642333984375
2020-12-01 18:30:28.1270,0.4342025816440582,0.5217918157577515,2.8458833694458012,0.3344879150390625,1.9722747802734373,-0.12567138671875
2020-12-01 18:30:28.1440,0.4342025816440582,0.5217918157577515,2.8458833694458012,0.3323516845703125,1.9886474609375,-0.1167144775390625
2020-12-01 18:30:28.1600,0.1908056437969208,0.6098045110702515,2.9096226692199707,0.34088134765625,1.934661865234375,-0.13720703125
2020-12-01 18:30:28.1760,-0.03086630254983902,0.4412431716918945,2.9689929485321045,0.34088134765625,1.934661865234375,-0.13720703125
2020-12-01 18:30:28.2090,-0.15172961354255676,-0.388865202665329,3.1815874576568604,0.2970123291015625,1.7142181396484375,-0.1133575439453125
2020-12-01 18:30:28.2260,-0.07769399881362915,-0.7939551472663879,3.1621091365814213,0.173797607421875,1.3540802001953125,-0.095733642578125
2020-12-01 18:30:28.2430,-0.07769399881362915,-0.7939551472663879,3.1621091365814213,-0.0322113037109375,0.9965972900390624,-0.0603790283203125
2020-12-01 18:30:28.2590,-0.29056739807128906,-1.151609182357788,2.8321971893310547,-0.0806884765625,0.884429931640625,-0.070068359375
2020-12-01 18:30:28.2760,-0.5623786449432373,-1.3872592449188232,2.3354640007019043,-0.0806884765625,0.884429931640625,-0.070068359375
2020-12-01 18:30:28.3090,-0.6767925620079039,-1.311887502670288,1.7632297277450562,-0.0807952880859375,0.60009765625,-0.114776611328125
2020-12-01 18:30:28.3260,-0.6767925620079039,-1.311887502670288,1.7632297277450562,-0.0625152587890625,0.446197509765625,-0.122222900390625
2020-12-01 18:30:28.3430,-0.3850030899047852,-0.8657084703445435,1.8605195283889768,-0.1366424560546875,0.3491973876953125,-0.1153717041015625
2020-12-01 18:30:28.3590,-0.07527025043964386,-0.3626154661178589,1.8693877458572388,-0.19989013671875,0.355438232421875,-0.0834808349609375
2020-12-01 18:30:28.3760,0.07848788052797318,0.2606709897518158,1.4338222742080688,-0.19989013671875,0.355438232421875,-0.0834808349609375
2020-12-01 18:30:28.4090,0.06512254476547241,0.0869884267449379,0.4368510842323303,-0.00885009765625,0.508026123046875,-0.0941162109375
2020-12-01 18:30:28.4260,0.06512254476547241,0.0869884267449379,0.4368510842323303,0.0937652587890625,0.5770721435546875,-0.087158203125
2020-12-01 18:30:28.4430,0.002764627570286393,-0.24552214145660398,0.33044394850730896,0.1312255859375,0.6251220703125,-0.098388671875
2020-12-01 18:30:28.4590,-0.06603041291236877,-0.3976128697395325,0.2959387004375458,0.1312255859375,0.6251220703125,-0.098388671875
2020-12-01 18:30:28.4760,-0.14340616762638092,-0.4427217543125153,0.051008056849241264,0.09686279296875,0.6917572021484375,-0.10748291015625
2020-12-01 18:30:28.5090,-0.2923106849193573,-0.4319074749946594,-0.8742513060569763,0.088409423828125,0.8152008056640625,-0.156402587890625
2020-12-01 18:30:28.5260,-0.2923106849193573,-0.4319074749946594,-0.8742513060569763,0.1304168701171875,0.843109130859375,-0.18280029296875
2020-12-01 18:30:28.5430,-0.3491068482398987,-0.3898705244064331,-1.146257758140564,0.14996337890625,0.9365081787109376,-0.21124267578125
2020-12-01 18:30:28.5590,-0.3834951817989349,-0.30649229884147644,-1.3893266916275024,0.14996337890625,0.9365081787109376,-0.21124267578125
2020-12-01 18:30:28.5760,-0.30770963430404663,-0.1769968867301941,-1.733002781867981,0.15777587890625,1.0887908935546875,-0.258331298828125
2020-12-01 18:30:28.6090,-0.002520149340853095,0.985441505908966,-2.3079760074615483,0.2180633544921875,1.222015380859375,-0.176239013671875
2020-12-01 18:30:28.6260,-0.002520149340853095,0.985441505908966,-2.3079760074615483,0.194183349609375,1.154022216796875,-0.1081085205078125
