time,gFx,gFy,gFz,TgF
0.240000,0.5862,0.7636,-0.3280,1.017
0.243000,0.5866,0.7634,-0.3293,1.018
0.243000,0.5859,0.7629,-0.3300,1.017
0.247000,0.5854,0.7624,-0.3293,1.016
0.247000,0.5849,0.7624,-0.3283,1.015
0.251000,0.5857,0.7622,-0.3280,1.016
0.252000,0.5864,0.7619,-0.3288,1.016
0.255000,0.5864,0.7622,-0.3295,1.017
0.255000,0.5864,0.7619,-0.3293,1.016
0.259000,0.5869,0.7617,-0.3288,1.016
0.260000,0.5876,0.7622,-0.3293,1.017
0.262000,0.5884,0.7634,-0.3293,1.018
0.262000,0.5876,0.7634,-0.3280,1.018
0.268000,0.5862,0.7634,-0.3256,1.016
0.268000,0.5849,0.7634,-0.3222,1.014
0.271000,0.5835,0.7634,-0.3180,1.012
0.271000,0.5820,0.7634,-0.3151,1.010
0.275000,0.5808,0.7636,-0.3131,1.009
0.276000,0.5798,0.7639,-0.3112,1.008
0.279000,0.5791,0.7636,-0.3080,1.007
0.279000,0.5786,0.7634,-0.3038,1.005
0.285000,0.5783,0.7639,-0.2997,1.004
0.286000,0.5774,0.7651,-0.2955,1.003
0.287000,0.5761,0.7658,-0.2919,1.002
0.287000,0.5744,0.7673,-0.2889,1.001
0.291000,0.5720,0.7685,-0.2860,1.000
0.291000,0.5705,0.7690,-0.2843,0.999
0.295000,0.5703,0.7685,-0.2843,0.998
0.296000,0.5708,0.7673,-0.2855,0.998
0.308000,0.5710,0.7663,-0.2872,0.998
0.308000,0.5712,0.7653,-0.2884,0.998
0.309000,0.5710,0.7653,-0.2889,0.998
0.309000,0.5705,0.7656,-0.2892,0.998
0.309000,0.5700,0.7656,-0.2887,0.997
0.309000,0.5698,0.7651,-0.2889,0.997
0.311000,0.5700,0.7653,-0.2901,0.997
0.311000,0.5708,0.7663,-0.2921,0.999
0.315000,0.5720,0.7675,-0.2943,1.001
0.315000,0.5732,0.7680,-0.2963,1.003
0.324000,0.5744,0.7675,-0.2980,1.004
0.325000,0.5752,0.7668,-0.2997,1.004
0.325000,0.5754,0.7656,-0.3014,1.004
0.325000,0.5754,0.7646,-0.3026,1.004
0.328000,0.5752,0.7641,-0.3036,1.003
0.329000,0.5749,0.7641,-0.3046,1.004
0.334000,0.5754,0.7646,-0.3060,1.005
0.334000,0.5756,0.7653,-0.3080,1.006
0.336000,0.5759,0.7661,-0.3099,1.007
0.337000,0.5769,0.7661,-0.3112,1.008
0.338000,0.5783,0.7658,-0.3124,1.009
0.339000,0.5796,0.7658,-0.3136,1.010
0.343000,0.5813,0.7658,-0.3151,1.012
0.343000,0.5832,0.7656,-0.3165,1.013
0.347000,0.5852,0.7648,-0.3178,1.014
0.347000,0.5871,0.7641,-0.3190,1.015
0.351000,0.5896,0.7634,-0.3207,1.016
0.351000,0.5913,0.7626,-0.3236,1.018
0.355000,0.5925,0.7624,-0.3266,1.019
0.355000,0.5942,0.7622,-0.3290,1.021
0.359000,0.5967,0.7617,-0.3310,1.023
0.359000,0.5989,0.7614,-0.3334,1.024
0.362000,0.6008,0.7614,-0.3361,1.027
0.363000,0.6020,0.7626,-0.3383,1.029
0.368000,0.6028,0.7636,-0.3393,1.030
0.368000,0.6028,0.7639,-0.3390,1.030
0.371000,0.6013,0.7634,-0.3388,1.029
0.371000,0.6003,0.7629,-0.3388,1.028
0.374000,0.5998,0.7626,-0.3385,1.028
0.375000,0.5984,0.7634,-0.3381,1.027
0.378000,0.5969,0.7636,-0.3383,1.027
0.378000,0.5954,0.7631,-0.3395,1.026
0.382000,0.5940,0.7634,-0.3405,1.025
0.382000,0.5913,0.7639,-0.3400,1.024
0.387000,0.5881,0.7641,-0.3383,1.022
0.387000,0.5857,0.7636,-0.3366,1.020
0.392000,0.5840,0.7629,-0.3351,1.018
0.392000,0.5832,0.7622,-0.3344,1.016
0.394000,0.5827,0.7622,-0.3332,1.016
0.395000,0.5825,0.7624,-0.3312,1.015
0.403000,0.5827,0.7624,-0.3300,1.015
0.404000,0.5835,0.7622,-0.3280,1.014
0.408000,0.5844,0.7612,-0.3268,1.014
0.408000,0.5844,0.7597,-0.3263,1.013
0.408000,0.5835,0.7575,-0.3253,1.010
0.408000,0.5822,0.7551,-0.3234,1.007
0.411000,0.5813,0.7534,-0.3214,1.004
0.412000,0.5798,0.7516,-0.3205,1.002
0.415000,0.5786,0.7494,-0.3197,0.999
0.415000,0.5786,0.7485,-0.3187,0.998
0.420000,0.5783,0.7477,-0.3178,0.997
0.420000,0.5783,0.7465,-0.3175,0.996
0.423000,0.5786,0.7448,-0.3163,0.995
0.423000,0.5786,0.7438,-0.3143,0.993
0.427000,0.5771,0.7438,-0.3117,0.992
0.428000,0.5656,0.7455,-0.3109,0.986
0.431000,0.4559,0.7590,-0.3275,0.944
0.431000,0.3581,0.7700,-0.3520,0.919
0.435000,0.4916,0.7597,-0.3464,0.969
0.436000,0.6541,0.7480,-0.3280,1.046
0.439000,0.6636,0.7438,-0.3427,1.054
0.440000,0.5942,0.7468,-0.3449,1.015
0.443000,0.5571,0.7526,-0.3077,0.986
0.443000,0.5576,0.7582,-0.2801,0.982
0.447000,0.5649,0.7629,-0.2879,0.992
0.447000,0.5725,0.7658,-0.3075,1.004
0.451000,0.5815,0.7658,-0.3185,1.013
0.452000,0.5884,0.7631,-0.3195,1.015
0.455000,0.5913,0.7587,-0.3136,1.012
0.455000,0.5935,0.7546,-0.3048,1.007
0.458000,0.5969,0.7519,-0.2980,1.005
0.459000,0.5991,0.7509,-0.2953,1.005
0.462000,0.5986,0.7516,-0.2948,1.005
0.462000,0.5962,0.7541,-0.2943,1.005
0.467000,0.5937,0.7573,-0.2933,1.006
0.468000,0.5928,0.7600,-0.2919,1.007
0.471000,0.5935,0.7622,-0.2906,1.009
0.472000,0.5952,0.7641,-0.2904,1.011
0.475000,0.5972,0.7658,-0.2914,1.014
0.475000,0.5994,0.7668,-0.2928,1.016
0.479000,0.6013,0.7678,-0.2941,1.019
0.479000,0.6023,0.7695,-0.2948,1.021
0.484000,0.6020,0.7710,-0.2950,1.022
0.485000,0.6011,0.7719,-0.2960,1.022
0.488000,0.5996,0.7732,-0.2977,1.023
0.488000,0.5979,0.7744,-0.2997,1.023
0.492000,0.5967,0.7749,-0.3016,1.023
0.492000,0.5959,0.7754,-0.3029,1.024
0.495000,0.5945,0.7758,-0.3036,1.023
0.495000,0.5915,0.7768,-0.3041,1.023
0.498000,0.5881,0.7778,-0.3041,1.021
0.505000,0.5847,0.7788,-0.3038,1.020
0.506000,0.5820,0.7780,-0.3036,1.018
0.507000,0.5803,0.7771,-0.3026,1.016
0.509000,0.5798,0.7768,-0.2997,1.015
0.510000,0.5793,0.7766,-0.2960,1.013
0.512000,0.5791,0.7763,-0.2936,1.012
0.513000,0.5793,0.7766,-0.2923,1.012
0.521000,0.5800,0.7763,-0.2926,1.012
0.523000,0.5796,0.7751,-0.2928,1.011
0.523000,0.5798,0.7734,-0.2933,1.010
0.523000,0.5810,0.7717,-0.2941,1.010
0.524000,0.5822,0.7695,-0.2950,1.009
0.524000,0.5837,0.7668,-0.2965,1.008
0.527000,0.5852,0.7648,-0.2970,1.008
0.528000,0.5869,0.7631,-0.2972,1.008
0.532000,0.5888,0.7604,-0.2970,1.007
0.532000,0.5906,0.7582,-0.2967,1.006
0.536000,0.5913,0.7568,-0.2972,1.005
0.537000,0.5913,0.7560,-0.2985,1.005
0.538000,0.5920,0.7553,-0.3002,1.006
0.539000,0.5925,0.7538,-0.3016,1.005
0.544000,0.5930,0.7524,-0.3038,1.005
0.544000,0.5937,0.7509,-0.3058,1.005
0.547000,0.5950,0.7499,-0.3063,1.005
0.547000,0.5967,0.7499,-0.3055,1.006
0.552000,0.5984,0.7507,-0.3053,1.007
0.553000,0.5994,0.7509,-0.3058,1.008
0.555000,0.5991,0.7504,-0.3068,1.008
0.555000,0.5986,0.7499,-0.3085,1.008
0.560000,0.5979,0.7494,-0.3095,1.007
0.560000,0.5974,0.7497,-0.3099,1.007
0.564000,0.5969,0.7509,-0.3097,1.008
0.564000,0.5952,0.7524,-0.3097,1.008
0.568000,0.5930,0.7531,-0.3102,1.007
0.569000,0.5908,0.7538,-0.3109,1.007
0.571000,0.5888,0.7548,-0.3097,1.006
0.571000,0.5876,0.7556,-0.3075,1.005
0.576000,0.5874,0.7563,-0.3060,1.005
0.576000,0.5871,0.7575,-0.3051,1.006
0.579000,0.5859,0.7585,-0.3041,1.006
0.580000,0.5844,0.7582,-0.3031,1.004
