time,gFx,gFy,gFz,TgF
0.004000,0.3041,0.9176,-0.3579,1.031
0.004000,0.3051,0.9213,-0.3571,1.034
0.005000,0.3048,0.9247,-0.3537,1.036
0.005000,0.3026,0.9276,-0.3498,1.037
0.005000,0.2999,0.9308,-0.3464,1.037
0.005000,0.2967,0.9350,-0.3420,1.039
0.014000,0.2928,0.9384,-0.3368,1.039
0.015000,0.2882,0.9406,-0.3310,1.038
0.015000,0.2826,0.9425,-0.3246,1.036
0.015000,0.2769,0.9450,-0.3175,1.035
0.017000,0.2725,0.9472,-0.3107,1.033
0.017000,0.2694,0.9491,-0.3036,1.032
0.021000,0.2662,0.9504,-0.2965,1.031
0.021000,0.2620,0.9509,-0.2894,1.028
0.033000,0.2574,0.9511,-0.2821,1.025
0.033000,0.2545,0.9513,-0.2750,1.022
0.033000,0.2527,0.9518,-0.2691,1.021
0.034000,0.2515,0.9523,-0.2647,1.020
0.034000,0.2510,0.9528,-0.2603,1.019
0.035000,0.2513,0.9531,-0.2557,1.018
0.036000,0.2518,0.9523,-0.2508,1.016
0.037000,0.2518,0.9511,-0.2474,1.014
0.052000,0.2523,0.9496,-0.2454,1.013
0.052000,0.2535,0.9479,-0.2447,1.011
0.053000,0.2547,0.9462,-0.2447,1.010
0.053000,0.2552,0.9450,-0.2454,1.009
0.053000,0.2557,0.9443,-0.2461,1.009
0.053000,0.2559,0.9421,-0.2476,1.007
0.053000,0.2567,0.9394,-0.2501,1.005
0.053000,0.2584,0.9367,-0.2537,1.004
0.066000,0.2606,0.9347,-0.2576,1.004
0.067000,0.2625,0.9323,-0.2613,1.003
0.067000,0.2637,0.9298,-0.2657,1.002
0.067000,0.2647,0.9276,-0.2701,1.002
0.067000,0.2664,0.9257,-0.2743,1.002
0.068000,0.2691,0.9232,-0.2784,1.001
0.070000,0.2713,0.9208,-0.2823,1.001
0.070000,0.2730,0.9188,-0.2860,1.000
0.084000,0.2747,0.9176,-0.2901,1.001
0.084000,0.2769,0.9166,-0.2943,1.002
0.085000,0.2787,0.9147,-0.2977,1.001
0.085000,0.2809,0.9132,-0.3004,1.002
0.085000,0.2831,0.9125,-0.3036,1.002
0.085000,0.2845,0.9113,-0.3063,1.003
0.085000,0.2853,0.9098,-0.3082,1.002
0.086000,0.2865,0.9088,-0.3097,1.002
0.088000,0.2875,0.9086,-0.3112,1.002
0.089000,0.2872,0.9086,-0.3117,1.003
0.099000,0.2872,0.9088,-0.3109,1.003
0.100000,0.2877,0.9093,-0.3097,1.003
0.100000,0.2887,0.9093,-0.3090,1.003
0.100000,0.2897,0.9093,-0.3082,1.003
0.102000,0.2906,0.9093,-0.3073,1.003
0.103000,0.2916,0.9100,-0.3060,1.003
0.105000,0.2926,0.9105,-0.3046,1.004
0.105000,0.2938,0.9113,-0.3021,1.004
0.117000,0.2958,0.9117,-0.2987,1.004
0.118000,0.2975,0.9122,-0.2948,1.004
0.118000,0.2985,0.9125,-0.2909,1.003
0.118000,0.2992,0.9137,-0.2877,1.004
0.118000,0.2997,0.9157,-0.2845,1.005
0.118000,0.3002,0.9169,-0.2809,1.005
0.122000,0.3002,0.9174,-0.2779,1.004
0.123000,0.2997,0.9176,-0.2755,1.004
0.132000,0.2985,0.9181,-0.2733,1.003
0.133000,0.2972,0.9188,-0.2713,1.003
0.133000,0.2963,0.9196,-0.2694,1.003
0.133000,0.2950,0.9201,-0.2677,1.003
0.133000,0.2938,0.9196,-0.2667,1.002
0.133000,0.2923,0.9198,-0.2667,1.001
0.137000,0.2906,0.9203,-0.2674,1.001
0.137000,0.2889,0.9205,-0.2681,1.001
0.152000,0.2875,0.9208,-0.2684,1.001
0.153000,0.2865,0.9210,-0.2691,1.001
0.153000,0.2855,0.9213,-0.2703,1.002
0.153000,0.2850,0.9208,-0.2723,1.002
0.153000,0.2845,0.9210,-0.2750,1.002
0.154000,0.2843,0.9218,-0.2774,1.004
0.154000,0.2843,0.9227,-0.2801,1.005
0.154000,0.2838,0.9235,-0.2831,1.007
0.165000,0.2828,0.9242,-0.2857,1.008
0.166000,0.2818,0.9240,-0.2882,1.008
0.166000,0.2809,0.9230,-0.2911,1.008
0.166000,0.2796,0.9225,-0.2948,1.008
0.167000,0.2789,0.9218,-0.2989,1.008
0.167000,0.2787,0.9213,-0.3029,1.009
0.170000,0.2784,0.9205,-0.3063,1.009
0.170000,0.2782,0.9198,-0.3090,1.009
0.173000,0.2787,0.9196,-0.3102,1.010
0.173000,0.2789,0.9196,-0.3109,1.010
0.184000,0.2791,0.9193,-0.3117,1.010
0.184000,0.2791,0.9186,-0.3126,1.010
0.184000,0.2789,0.9188,-0.3141,1.010
0.185000,0.2791,0.9196,-0.3146,1.011
0.185000,0.2801,0.9203,-0.3139,1.012
0.185000,0.2813,0.9205,-0.3124,1.012
0.199000,0.2821,0.9205,-0.3119,1.012
0.200000,0.2821,0.9203,-0.3109,1.012
0.200000,0.2818,0.9203,-0.3090,1.011
0.200000,0.2818,0.9205,-0.3065,1.010
0.200000,0.2818,0.9208,-0.3043,1.010
0.201000,0.2818,0.9213,-0.3021,1.010
0.202000,0.2816,0.9220,-0.3002,1.010
0.202000,0.2811,0.9227,-0.2980,1.010
0.206000,0.2809,0.9235,-0.2948,1.009
0.206000,0.2806,0.9235,-0.2916,1.008
0.216000,0.2804,0.9232,-0.2892,1.007
0.217000,0.2806,0.9230,-0.2867,1.006
0.217000,0.2804,0.9237,-0.2840,1.006
0.217000,0.2801,0.9237,-0.2813,1.005
