time,gFx,gFy,gFz,TgF
0.003000,-0.3019,0.5331,0.9770,1.153
0.004000,-0.3090,0.5358,0.9689,1.150
0.004000,-0.3148,0.5395,0.9621,1.147
0.004000,-0.3192,0.5441,0.9570,1.146
0.004000,-0.3231,0.5497,0.9535,1.147
0.004000,-0.3258,0.5558,0.9523,1.150
0.006000,-0.3271,0.5624,0.9523,1.153
0.006000,-0.3273,0.5698,0.9538,1.158
0.010000,-0.3261,0.5769,0.9562,1.163
0.010000,-0.3222,0.5827,0.9594,1.168
0.014000,-0.3148,0.5881,0.9621,1.171
0.014000,-0.3065,0.5925,0.9641,1.172
0.018000,-0.2997,0.5942,0.9655,1.173
0.018000,-0.2938,0.5925,0.9665,1.171
0.022000,-0.2889,0.5886,0.9689,1.170
0.022000,-0.2838,0.5844,0.9729,1.170
0.029000,-0.2774,0.5825,0.9770,1.171
0.029000,-0.2672,0.5810,0.9812,1.171
0.031000,-0.2535,0.5783,0.9846,1.170
0.031000,-0.2403,0.5788,0.9895,1.171
0.035000,-0.2283,0.5837,0.9975,1.178
0.035000,-0.2168,0.5915,1.0081,1.189
0.038000,-0.2048,0.6008,1.0208,1.202
0.038000,-0.1919,0.6113,1.0345,1.217
0.042000,-0.1794,0.6221,1.0467,1.231
0.042000,-0.1682,0.6331,1.0565,1.243
0.046000,-0.1569,0.6451,1.0655,1.255
0.047000,-0.1462,0.6563,1.0750,1.268
0.050000,-0.1366,0.6646,1.0843,1.279
0.051000,-0.1281,0.6693,1.0931,1.288
0.054000,-0.1215,0.6712,1.1022,1.296
0.055000,-0.1176,0.6717,1.1122,1.305
0.060000,-0.1154,0.6707,1.1220,1.312
0.060000,-0.1137,0.6680,1.1308,1.318
0.064000,-0.1115,0.6629,1.1396,1.323
0.064000,-0.1098,0.6556,1.1481,1.327
0.068000,-0.1095,0.6470,1.1550,1.328
0.069000,-0.1098,0.6372,1.1616,1.329
0.070000,-0.1100,0.6262,1.1694,1.331
0.070000,-0.1088,0.6145,1.1782,1.333
0.075000,-0.1061,0.6023,1.1863,1.335
0.076000,-0.1044,0.5908,1.1916,1.334
0.078000,-0.1036,0.5813,1.1951,1.333
0.078000,-0.1032,0.5727,1.1977,1.332
0.082000,-0.1019,0.5651,1.1995,1.330
0.082000,-0.0995,0.5563,1.2014,1.328
0.086000,-0.0958,0.5441,1.2046,1.325
0.086000,-0.0907,0.5280,1.2068,1.320
0.090000,-0.0838,0.5097,1.2092,1.315
0.090000,-0.0763,0.4906,1.2126,1.310
0.094000,-0.0694,0.4727,1.2178,1.308
0.095000,-0.0648,0.4566,1.2232,1.307
0.098000,-0.0626,0.4405,1.2283,1.306
0.098000,-0.0614,0.4234,1.2322,1.304
0.102000,-0.0604,0.4065,1.2366,1.303
0.102000,-0.0616,0.3901,1.2410,1.302
0.106000,-0.0704,0.3767,1.2439,1.302
0.106000,-0.0853,0.3659,1.2466,1.302
0.110000,-0.0975,0.3571,1.2496,1.303
0.111000,-0.1034,0.3491,1.2525,1.304
0.114000,-0.1066,0.3403,1.2547,1.304
0.114000,-0.1090,0.3312,1.2566,1.304
0.118000,-0.1088,0.3209,1.2581,1.303
0.118000,-0.1058,0.3092,1.2591,1.301
0.122000,-0.1007,0.2963,1.2601,1.298
0.122000,-0.0941,0.2828,1.2613,1.296
0.126000,-0.0858,0.2689,1.2620,1.293
0.127000,-0.0743,0.2547,1.2647,1.292
0.130000,-0.0601,0.2400,1.2708,1.295
0.130000,-0.0433,0.2259,1.2786,1.299
0.134000,-0.0264,0.2149,1.2882,1.306
0.134000,-0.0137,0.2092,1.2997,1.316
0.138000,-0.0076,0.2087,1.3112,1.328
0.139000,-0.0078,0.2097,1.3200,1.337
0.142000,-0.0117,0.2097,1.3258,1.342
0.143000,-0.0152,0.2097,1.3292,1.346
0.146000,-0.0156,0.2085,1.3319,1.348
0.147000,-0.0127,0.2063,1.3358,1.352
0.150000,-0.0090,0.2048,1.3407,1.356
0.150000,-0.0054,0.2065,1.3432,1.359
0.154000,0.0002,0.2097,1.3420,1.358
0.155000,0.0093,0.2122,1.3380,1.355
0.160000,0.0196,0.2127,1.3332,1.350
0.160000,0.0296,0.2129,1.3273,1.345
0.168000,0.0376,0.2149,1.3214,1.339
0.168000,0.0430,0.2175,1.3160,1.335
0.168000,0.0464,0.2205,1.3109,1.330
0.168000,0.0499,0.2239,1.3058,1.326
0.171000,0.0530,0.2276,1.3006,1.321
0.171000,0.0560,0.2315,1.2940,1.316
0.175000,0.0599,0.2359,1.2850,1.308
0.175000,0.0658,0.2405,1.2755,1.300
0.178000,0.0721,0.2452,1.2652,1.291
0.179000,0.0785,0.2501,1.2530,1.280
0.182000,0.0851,0.2545,1.2390,1.268
0.183000,0.0924,0.2579,1.2239,1.254
0.186000,0.1007,0.2608,1.2075,1.239
0.186000,0.1098,0.2640,1.1907,1.224
0.190000,0.1181,0.2667,1.1723,1.208
0.190000,0.1256,0.2686,1.1518,1.189
0.194000,0.1330,0.2708,1.1293,1.169
