time,gFx,gFy,gFz,TgF
2.312000,0.2664,0.8998,-0.3566,1.004
2.312000,0.2659,0.9005,-0.3608,1.006
2.315000,0.2642,0.9029,-0.3647,1.009
2.315000,0.2625,0.9061,-0.3676,1.012
2.317000,0.2611,0.9093,-0.3698,1.016
2.317000,0.2603,0.9125,-0.3718,1.019
2.321000,0.2598,0.9147,-0.3737,1.022
2.321000,0.2589,0.9154,-0.3750,1.023
2.327000,0.2579,0.9166,-0.3759,1.024
2.327000,0.2567,0.9183,-0.3767,1.025
2.330000,0.2547,0.9205,-0.3759,1.026
2.330000,0.2520,0.9225,-0.3755,1.027
2.334000,0.2498,0.9240,-0.3757,1.028
2.334000,0.2476,0.9247,-0.3767,1.029
2.343000,0.2454,0.9259,-0.3772,1.029
2.344000,0.2427,0.9274,-0.3772,1.030
2.344000,0.2393,0.9284,-0.3772,1.030
2.344000,0.2364,0.9289,-0.3772,1.030
2.346000,0.2347,0.9293,-0.3767,1.030
2.346000,0.2334,0.9301,-0.3762,1.030
2.349000,0.2325,0.9308,-0.3752,1.030
2.349000,0.2315,0.9313,-0.3740,1.030
2.352000,0.2310,0.9311,-0.3733,1.029
2.353000,0.2310,0.9311,-0.3730,1.029
2.358000,0.2315,0.9308,-0.3725,1.029
2.358000,0.2320,0.9306,-0.3720,1.029
2.362000,0.2329,0.9301,-0.3718,1.028
2.362000,0.2337,0.9296,-0.3715,1.028
2.366000,0.2349,0.9286,-0.3706,1.027
2.367000,0.2351,0.9276,-0.3693,1.026
2.371000,0.2359,0.9267,-0.3691,1.025
2.372000,0.2371,0.9267,-0.3693,1.025
2.375000,0.2381,0.9264,-0.3689,1.025
2.376000,0.2383,0.9259,-0.3684,1.025
2.379000,0.2393,0.9252,-0.3681,1.024
2.379000,0.2398,0.9245,-0.3674,1.023
2.382000,0.2395,0.9237,-0.3669,1.022
2.383000,0.2391,0.9225,-0.3669,1.021
2.387000,0.2393,0.9215,-0.3676,1.021
2.388000,0.2410,0.9203,-0.3676,1.020
2.391000,0.2435,0.9191,-0.3671,1.019
2.391000,0.2457,0.9174,-0.3676,1.018
2.395000,0.2471,0.9152,-0.3691,1.017
2.395000,0.2486,0.9132,-0.3698,1.016
2.398000,0.2508,0.9125,-0.3696,1.016
2.398000,0.2532,0.9125,-0.3689,1.016
2.405000,0.2554,0.9125,-0.3691,1.017
2.405000,0.2576,0.9115,-0.3701,1.017
2.405000,0.2598,0.9095,-0.3706,1.016
2.405000,0.2618,0.9081,-0.3703,1.015
2.411000,0.2645,0.9071,-0.3698,1.015
2.412000,0.2672,0.9059,-0.3696,1.014
2.414000,0.2699,0.9049,-0.3696,1.014
2.414000,0.2723,0.9042,-0.3693,1.014
2.420000,0.2750,0.9032,-0.3681,1.013
2.421000,0.2777,0.9015,-0.3671,1.012
2.421000,0.2799,0.8993,-0.3657,1.010
2.421000,0.2826,0.8981,-0.3645,1.010
2.427000,0.2862,0.8976,-0.3632,1.010
2.428000,0.2887,0.8966,-0.3615,1.009
2.431000,0.2901,0.8946,-0.3596,1.007
2.431000,0.2914,0.8924,-0.3574,1.005
2.438000,0.2926,0.8912,-0.3552,1.003
2.438000,0.2948,0.8902,-0.3530,1.002
2.439000,0.2975,0.8883,-0.3505,1.000
2.439000,0.2999,0.8861,-0.3488,0.998
2.443000,0.3016,0.8851,-0.3464,0.997
2.443000,0.3033,0.8851,-0.3434,0.997
2.446000,0.3051,0.8846,-0.3398,0.996
2.447000,0.3063,0.8841,-0.3363,0.994
2.450000,0.3073,0.8836,-0.3337,0.993
2.450000,0.3082,0.8831,-0.3315,0.992
2.457000,0.3092,0.8819,-0.3288,0.991
2.458000,0.3097,0.8812,-0.3256,0.989
2.458000,0.3102,0.8812,-0.3234,0.989
2.458000,0.3102,0.8809,-0.3217,0.988
2.463000,0.3102,0.8797,-0.3207,0.986
2.463000,0.3104,0.8785,-0.3197,0.985
2.466000,0.3104,0.8778,-0.3180,0.984
2.466000,0.3097,0.8780,-0.3175,0.984
2.469000,0.3085,0.8783,-0.3175,0.984
2.470000,0.3073,0.8787,-0.3183,0.984
2.473000,0.3055,0.8792,-0.3190,0.984
2.473000,0.3043,0.8792,-0.3192,0.984
2.477000,0.3038,0.8795,-0.3197,0.984
2.477000,0.3031,0.8805,-0.3202,0.985
2.482000,0.3014,0.8822,-0.3207,0.986
2.482000,0.3007,0.8836,-0.3222,0.987
2.485000,0.3004,0.8844,-0.3244,0.989
2.486000,0.2997,0.8844,-0.3268,0.989
2.490000,0.2985,0.8853,-0.3280,0.990
2.490000,0.2972,0.8875,-0.3285,0.992
2.494000,0.2965,0.8893,-0.3297,0.994
2.495000,0.2960,0.8910,-0.3317,0.996
2.497000,0.2950,0.8922,-0.3339,0.997
2.498000,0.2933,0.8929,-0.3356,0.998
2.503000,0.2916,0.8941,-0.3378,0.999
2.504000,0.2909,0.8951,-0.3400,1.001
2.505000,0.2901,0.8959,-0.3422,1.002
2.506000,0.2894,0.8963,-0.3447,1.003
2.510000,0.2879,0.8976,-0.3473,1.005
2.510000,0.2870,0.8983,-0.3500,1.006
2.513000,0.2872,0.8985,-0.3520,1.007
2.513000,0.2884,0.8983,-0.3537,1.008
2.517000,0.2894,0.8981,-0.3557,1.008
2.517000,0.2897,0.8985,-0.3571,1.009
2.522000,0.2901,0.8990,-0.3579,1.010
2.522000,0.2909,0.8990,-0.3591,1.011
2.526000,0.2919,0.8990,-0.3601,1.011
2.526000,0.2931,0.8993,-0.3608,1.012
2.530000,0.2945,0.8995,-0.3610,1.013
2.530000,0.2960,0.8998,-0.3603,1.013
2.533000,0.2967,0.8998,-0.3596,1.013
2.533000,0.2972,0.8995,-0.3593,1.013
2.539000,0.2975,0.8998,-0.3588,1.013
2.545000,0.2972,0.8998,-0.3579,1.013
2.545000,0.2970,0.8998,-0.3566,1.012
2.546000,0.2970,0.8998,-0.3547,1.012
2.546000,0.2967,0.8990,-0.3530,1.010
2.546000,0.2963,0.8983,-0.3510,1.009
2.550000,0.2958,0.8981,-0.3491,1.008
2.550000,0.2950,0.8981,-0.3481,1.007
2.553000,0.2936,0.8983,-0.3469,1.007
