time,gFx,gFy,gFz,TgF
15:28:20:4230,-0.3503,0.3454,0.8118,0.949
15:28:20:4250,-0.3449,0.3434,0.8003,0.937
15:28:20:4260,-0.3407,0.3420,0.7876,0.924
15:28:20:4280,-0.3363,0.3407,0.7741,0.910
15:28:20:4300,-0.3310,0.3400,0.7602,0.896
15:28:20:4320,-0.3249,0.3400,0.7465,0.882
15:28:20:4340,-0.3195,0.3405,0.7331,0.869
15:28:20:4350,-0.3156,0.3417,0.7206,0.858
15:28:20:4400,-0.3124,0.3437,0.7089,0.847
15:28:20:4410,-0.3107,0.3456,0.6971,0.838
15:28:20:4420,-0.3102,0.3473,0.6861,0.829
15:28:20:4440,-0.3099,0.3486,0.6742,0.820
15:28:20:4460,-0.3092,0.3503,0.6627,0.811
15:28:20:4480,-0.3080,0.3522,0.6522,0.803
15:28:20:4500,-0.3070,0.3544,0.6419,0.795
15:28:20:4520,-0.3063,0.3561,0.6316,0.787
15:28:20:4560,-0.3058,0.3583,0.6228,0.781
15:28:20:4560,-0.3051,0.3605,0.6148,0.775
15:28:20:4630,-0.3038,0.3620,0.6079,0.770
15:28:20:4630,-0.3029,0.3623,0.6020,0.765
15:28:20:4640,-0.3019,0.3632,0.5959,0.760
15:28:20:4640,-0.3016,0.3647,0.5901,0.756
15:28:20:4680,-0.3019,0.3654,0.5854,0.753
15:28:20:4690,-0.3009,0.3649,0.5810,0.749
15:28:20:4710,-0.2987,0.3645,0.5774,0.745
15:28:20:4730,-0.2965,0.3647,0.5744,0.742
15:28:20:4740,-0.2955,0.3654,0.5727,0.741
15:28:20:4760,-0.2945,0.3652,0.5722,0.740
15:28:20:4780,-0.2938,0.3635,0.5727,0.739
15:28:20:4800,-0.2914,0.3620,0.5737,0.738
15:28:20:5040,-0.2872,0.3615,0.5756,0.738
15:28:20:5040,-0.2828,0.3618,0.5781,0.738
15:28:20:5050,-0.2791,0.3618,0.5803,0.739
15:28:20:5050,-0.2769,0.3623,0.5835,0.741
15:28:20:5050,-0.2757,0.3630,0.5869,0.743
15:28:20:5050,-0.2738,0.3645,0.5908,0.746
15:28:20:5050,-0.2706,0.3662,0.5950,0.749
15:28:20:5050,-0.2677,0.3679,0.5979,0.751
15:28:20:5060,-0.2652,0.3701,0.5991,0.752
15:28:20:5060,-0.2637,0.3723,0.5989,0.753
15:28:20:5060,-0.2637,0.3747,0.5994,0.754
