time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.656000,1.5868,0.3164,3.0248,3.430
3.659000,2.0344,0.5591,3.8325,4.375
3.663000,2.4217,0.6948,4.5796,5.227
3.669000,2.7950,0.7021,4.9603,5.737
3.674000,3.0873,0.6550,5.1065,6.003
3.678000,3.2479,0.5824,5.0537,6.036
3.682000,3.3795,0.5088,4.9617,6.025
3.688000,3.4734,0.3491,4.6739,5.834
3.693000,3.5491,0.0996,4.0818,5.410
3.697000,3.5964,-0.1569,3.2082,4.822
3.702000,3.6470,-0.5763,2.0019,4.200
3.711000,3.6665,-1.0179,0.6553,3.861
3.712000,3.6318,-1.3892,-0.4377,3.913
3.717000,3.5274,-1.6360,-1.0492,4.027
3.729000,3.3628,-1.7052,-1.1272,3.935
3.731000,3.0634,-1.6947,-0.6391,3.559
3.731000,2.5508,-1.5860,0.2469,3.014
3.740000,1.8521,-1.2750,1.2813,2.588
3.741000,1.6604,-1.3818,1.7656,2.790
3.746000,1.4423,-1.4790,1.9398,2.834
3.751000,1.0205,-1.5793,1.9647,2.720
3.756000,0.7834,-1.6240,1.8249,2.565
3.760000,0.3664,-1.5442,1.3873,2.108
3.765000,-0.1017,-1.1142,1.2799,1.700
3.771000,-1.3029,0.6036,0.9390,1.716
3.775000,-2.1447,2.3399,0.2792,3.186
3.780000,-3.4678,4.3606,-0.4127,5.587
3.784000,-4.6704,6.3594,-0.4135,7.901
3.790000,-5.7891,8.3267,-0.5302,10.155
3.795000,-6.5516,9.6057,-0.9242,11.664
3.799000,-7.0423,10.5366,-1.3011,12.740
3.813000,-6.4305,10.3125,-1.6640,12.266
3.814000,-4.6331,8.9063,-2.0731,10.251
3.815000,-3.3632,7.8380,-2.7369,8.957
3.832000,-2.7359,7.1786,-3.3210,8.369
3.833000,-2.7387,6.7905,-3.7729,8.237
3.834000,-2.6868,6.2976,-4.2094,8.037
3.835000,-2.8547,5.7538,-4.5098,7.848
3.849000,-1.7595,4.6811,-3.9649,6.382
3.850000,-0.3432,3.5501,-3.4945,4.993
3.851000,0.0271,2.7330,-3.4811,4.426
3.853000,0.0535,2.0450,-3.1778,3.779
3.860000,-0.0479,1.4491,-2.5888,2.967
3.862000,-0.2820,0.9681,-1.9907,2.231
3.873000,-0.4365,0.5121,-1.5640,1.703
3.874000,-0.4855,0.1540,-1.2551,1.354
3.877000,-0.2421,-0.1812,-0.9958,1.041
3.883000,-0.0864,-0.5132,-0.9647,1.096
3.888000,0.0183,-0.8131,-1.1350,1.396
3.891000,0.0918,-0.9590,-1.5518,1.827
3.896000,0.3305,-1.0560,-1.8109,2.122
3.902000,0.5003,-1.0963,-1.8821,2.235
3.906000,0.3811,-0.9601,-1.9930,2.245
3.910000,0.1456,-0.6617,-2.2009,2.303
3.915000,0.0143,-0.3782,-2.3693,2.399
3.926000,0.1016,-0.1906,-2.3504,2.360
3.927000,0.3205,-0.2131,-1.9800,2.017
3.930000,0.5866,-0.4836,-1.2253,1.442
3.938000,0.7908,-0.7918,-0.3882,1.184
3.940000,0.8675,-0.8752,0.1993,1.248
3.945000,0.5733,-0.6349,0.2231,0.884
3.950000,0.2917,-0.3632,0.0907,0.475
3.955000,0.0240,-0.1826,-0.0701,0.197
3.959000,-0.1522,-0.0810,-0.1106,0.205
3.964000,-0.0499,-0.1070,0.1347,0.179
3.970000,0.1007,-0.2030,0.3523,0.419
3.974000,0.1986,-0.3163,0.5203,0.640
3.980000,0.0519,-0.3199,0.5380,0.628
3.984000,0.1520,-0.4405,0.5603,0.729
3.989000,0.2341,-0.4391,0.5586,0.748
3.994000,0.2895,-0.3993,0.6432,0.811
3.998000,0.3472,-0.4217,0.9216,1.071
4.005000,0.2950,-0.3941,1.1453,1.247
4.009000,0.2904,-0.3811,1.3381,1.421
4.013000,0.3766,-0.3693,1.7303,1.809
4.018000,0.5375,-0.4189,2.3459,2.443
4.024000,0.5892,-0.4087,2.1625,2.278
4.028000,0.7218,-0.4777,1.8410,2.034
4.032000,0.8078,-0.5252,1.7428,1.991
4.048000,0.8838,-0.5441,1.7721,2.054
4.050000,0.9233,-0.4960,1.7589,2.047
4.050000,0.9188,-0.4311,1.6336,1.923
4.074000,0.8602,-0.3349,1.6135,1.859
4.076000,0.8091,-0.2646,1.6529,1.859
4.076000,0.7768,-0.1797,1.5579,1.750
4.077000,0.7819,-0.0992,1.3525,1.565
4.077000,0.5782,0.1013,1.0366,1.191
4.078000,0.2904,0.3289,0.6867,0.815
4.081000,0.1786,0.4332,0.3741,0.600
4.087000,0.1488,0.4175,0.1461,0.467
4.091000,0.1213,0.2943,0.0855,0.330
4.095000,0.0590,0.2146,0.0292,0.225
4.100000,0.0426,0.1572,-0.0661,0.176
4.107000,-0.0336,0.1529,-0.2437,0.290
4.110000,-0.1164,0.1732,-0.3789,0.433
4.114000,-0.1838,0.1699,-0.4453,0.511
4.121000,-0.2043,0.1433,-0.4190,0.488
4.124000,-0.1729,0.1291,-0.2905,0.362
4.130000,-0.1326,0.0508,-0.1697,0.221
4.134000,-0.0044,-0.0082,-0.0636,0.064
4.147000,0.1504,-0.0315,0.0475,0.161
4.148000,0.2513,0.0116,0.1926,0.317
4.149000,0.3113,0.1352,0.1785,0.383
4.166000,0.3286,0.2100,-0.0230,0.391
4.166000,0.3594,0.2746,-0.2251,0.505
4.167000,0.3677,0.3171,-0.3420,0.594
4.168000,0.2814,0.3740,-0.4649,0.660
4.177000,0.1140,0.4121,-0.5991,0.736
4.179000,-0.0715,0.3985,-0.7908,0.888
4.183000,-0.1256,0.3263,-1.0499,1.107
4.191000,-0.1277,0.2461,-1.1807,1.213
4.192000,0.0272,0.2249,-1.0974,1.121
4.197000,0.2351,0.1266,-0.8389,0.880
4.204000,-0.2408,0.0541,-0.6518,0.697
4.209000,-0.2714,0.1070,-0.7244,0.781
4.213000,-0.2713,0.0846,-0.6454,0.705
4.217000,-0.0879,0.0248,-0.2048,0.224
4.222000,0.2749,-0.0175,0.1914,0.335
4.227000,0.5029,-0.0402,-0.3358,0.606
4.231000,0.3789,-0.0334,-0.3412,0.511
4.243000,0.0241,0.0770,1.1374,1.140
4.244000,0.0037,0.0240,1.6768,1.677
4.246000,0.3459,-0.0495,1.5728,1.611
4.251000,0.5672,-0.1246,1.9262,2.012
4.258000,0.4963,-0.2263,2.2711,2.336
4.260000,0.3347,-0.3672,2.0777,2.136
4.265000,-0.0146,-0.4066,1.5573,1.610
4.270000,-0.1785,-0.3799,1.2620,1.330
4.275000,-0.4811,-0.4037,0.7105,0.948
4.279000,-0.9060,-0.4462,0.3996,1.086
4.284000,-1.1917,-0.4184,0.4119,1.328
4.290000,-1.1637,-0.4034,0.3277,1.274
4.294000,-1.1342,-0.3627,0.1323,1.198
4.299000,-1.2136,-0.3199,-0.0145,1.255
4.310000,-1.3225,-0.3082,-0.1102,1.362
4.311000,-1.3211,-0.2632,-0.2500,1.370
